Var1,TIME,TRAX_load
0,2020-01-01 00:00:00,0
1,2020-01-01 00:00:01,0
2,2020-01-01 00:00:02,0
3,2020-01-01 00:00:03,0
4,2020-01-01 00:00:04,0
5,2020-01-01 00:00:05,0
6,2020-01-01 00:00:06,0
7,2020-01-01 00:00:07,0
8,2020-01-01 00:00:08,0
9,2020-01-01 00:00:09,0
10,2020-01-01 00:00:10,0
11,2020-01-01 00:00:11,0
12,2020-01-01 00:00:12,0
13,2020-01-01 00:00:13,0
14,2020-01-01 00:00:14,0
15,2020-01-01 00:00:15,0
16,2020-01-01 00:00:16,0
17,2020-01-01 00:00:17,0
18,2020-01-01 00:00:18,0
19,2020-01-01 00:00:19,0
20,2020-01-01 00:00:20,0
21,2020-01-01 00:00:21,0
22,2020-01-01 00:00:22,0
23,2020-01-01 00:00:23,0
24,2020-01-01 00:00:24,0
25,2020-01-01 00:00:25,0
26,2020-01-01 00:00:26,0
27,2020-01-01 00:00:27,0
28,2020-01-01 00:00:28,0
29,2020-01-01 00:00:29,0
30,2020-01-01 00:00:30,0
31,2020-01-01 00:00:31,0
32,2020-01-01 00:00:32,0
33,2020-01-01 00:00:33,0
34,2020-01-01 00:00:34,0
35,2020-01-01 00:00:35,0
36,2020-01-01 00:00:36,0
37,2020-01-01 00:00:37,0
38,2020-01-01 00:00:38,0
39,2020-01-01 00:00:39,0
40,2020-01-01 00:00:40,0
41,2020-01-01 00:00:41,0
42,2020-01-01 00:00:42,0
43,2020-01-01 00:00:43,0
44,2020-01-01 00:00:44,0
45,2020-01-01 00:00:45,0
46,2020-01-01 00:00:46,0
47,2020-01-01 00:00:47,0
48,2020-01-01 00:00:48,0
49,2020-01-01 00:00:49,0
50,2020-01-01 00:00:50,0
51,2020-01-01 00:00:51,0
52,2020-01-01 00:00:52,0
53,2020-01-01 00:00:53,0
54,2020-01-01 00:00:54,0
55,2020-01-01 00:00:55,0
56,2020-01-01 00:00:56,0
57,2020-01-01 00:00:57,0
58,2020-01-01 00:00:58,0
59,2020-01-01 00:00:59,0
60,2020-01-01 00:01:00,0
61,2020-01-01 00:01:01,0
62,2020-01-01 00:01:02,0
63,2020-01-01 00:01:03,0
64,2020-01-01 00:01:04,0
65,2020-01-01 00:01:05,0
66,2020-01-01 00:01:06,0
67,2020-01-01 00:01:07,0
68,2020-01-01 00:01:08,0
69,2020-01-01 00:01:09,0
70,2020-01-01 00:01:10,0
71,2020-01-01 00:01:11,0
72,2020-01-01 00:01:12,0
73,2020-01-01 00:01:13,0
74,2020-01-01 00:01:14,0
75,2020-01-01 00:01:15,0
76,2020-01-01 00:01:16,0
77,2020-01-01 00:01:17,0
78,2020-01-01 00:01:18,0
79,2020-01-01 00:01:19,0
80,2020-01-01 00:01:20,0
81,2020-01-01 00:01:21,0
82,2020-01-01 00:01:22,0
83,2020-01-01 00:01:23,0
84,2020-01-01 00:01:24,0
85,2020-01-01 00:01:25,0
86,2020-01-01 00:01:26,0
87,2020-01-01 00:01:27,0
88,2020-01-01 00:01:28,0
89,2020-01-01 00:01:29,0
90,2020-01-01 00:01:30,0
91,2020-01-01 00:01:31,0
92,2020-01-01 00:01:32,0
93,2020-01-01 00:01:33,0
94,2020-01-01 00:01:34,0
95,2020-01-01 00:01:35,0
96,2020-01-01 00:01:36,0
97,2020-01-01 00:01:37,0
98,2020-01-01 00:01:38,0
99,2020-01-01 00:01:39,0
100,2020-01-01 00:01:40,0
101,2020-01-01 00:01:41,0
102,2020-01-01 00:01:42,0
103,2020-01-01 00:01:43,0
104,2020-01-01 00:01:44,0
105,2020-01-01 00:01:45,0
106,2020-01-01 00:01:46,0
107,2020-01-01 00:01:47,0
108,2020-01-01 00:01:48,0
109,2020-01-01 00:01:49,0
110,2020-01-01 00:01:50,0
111,2020-01-01 00:01:51,0
112,2020-01-01 00:01:52,0
113,2020-01-01 00:01:53,0
114,2020-01-01 00:01:54,0
115,2020-01-01 00:01:55,0
116,2020-01-01 00:01:56,0
117,2020-01-01 00:01:57,0
118,2020-01-01 00:01:58,0
119,2020-01-01 00:01:59,0
120,2020-01-01 00:02:00,0
121,2020-01-01 00:02:01,0
122,2020-01-01 00:02:02,0
123,2020-01-01 00:02:03,0
124,2020-01-01 00:02:04,0
125,2020-01-01 00:02:05,0
126,2020-01-01 00:02:06,0
127,2020-01-01 00:02:07,0
128,2020-01-01 00:02:08,0
129,2020-01-01 00:02:09,0
130,2020-01-01 00:02:10,0
131,2020-01-01 00:02:11,0
132,2020-01-01 00:02:12,0
133,2020-01-01 00:02:13,0
134,2020-01-01 00:02:14,0
135,2020-01-01 00:02:15,0
136,2020-01-01 00:02:16,0
137,2020-01-01 00:02:17,0
138,2020-01-01 00:02:18,0
139,2020-01-01 00:02:19,0
140,2020-01-01 00:02:20,0
141,2020-01-01 00:02:21,0
142,2020-01-01 00:02:22,0
143,2020-01-01 00:02:23,0
144,2020-01-01 00:02:24,0
145,2020-01-01 00:02:25,0
146,2020-01-01 00:02:26,0
147,2020-01-01 00:02:27,0
148,2020-01-01 00:02:28,0
149,2020-01-01 00:02:29,0
150,2020-01-01 00:02:30,0
151,2020-01-01 00:02:31,0
152,2020-01-01 00:02:32,0
153,2020-01-01 00:02:33,0
154,2020-01-01 00:02:34,0
155,2020-01-01 00:02:35,0
156,2020-01-01 00:02:36,0
157,2020-01-01 00:02:37,0
158,2020-01-01 00:02:38,0
159,2020-01-01 00:02:39,0
160,2020-01-01 00:02:40,0
161,2020-01-01 00:02:41,0
162,2020-01-01 00:02:42,0
163,2020-01-01 00:02:43,0
164,2020-01-01 00:02:44,0
165,2020-01-01 00:02:45,0
166,2020-01-01 00:02:46,0
167,2020-01-01 00:02:47,0
168,2020-01-01 00:02:48,0
169,2020-01-01 00:02:49,0
170,2020-01-01 00:02:50,0
171,2020-01-01 00:02:51,0
172,2020-01-01 00:02:52,0
173,2020-01-01 00:02:53,0
174,2020-01-01 00:02:54,0
175,2020-01-01 00:02:55,0
176,2020-01-01 00:02:56,0
177,2020-01-01 00:02:57,0
178,2020-01-01 00:02:58,0
179,2020-01-01 00:02:59,0
180,2020-01-01 00:03:00,0
181,2020-01-01 00:03:01,0
182,2020-01-01 00:03:02,0
183,2020-01-01 00:03:03,0
184,2020-01-01 00:03:04,0
185,2020-01-01 00:03:05,0
186,2020-01-01 00:03:06,0
187,2020-01-01 00:03:07,0
188,2020-01-01 00:03:08,0
189,2020-01-01 00:03:09,0
190,2020-01-01 00:03:10,0
191,2020-01-01 00:03:11,0
192,2020-01-01 00:03:12,0
193,2020-01-01 00:03:13,0
194,2020-01-01 00:03:14,0
195,2020-01-01 00:03:15,0
196,2020-01-01 00:03:16,0
197,2020-01-01 00:03:17,0
198,2020-01-01 00:03:18,0
199,2020-01-01 00:03:19,0
200,2020-01-01 00:03:20,0
201,2020-01-01 00:03:21,0
202,2020-01-01 00:03:22,0
203,2020-01-01 00:03:23,0
204,2020-01-01 00:03:24,0
205,2020-01-01 00:03:25,0
206,2020-01-01 00:03:26,0
207,2020-01-01 00:03:27,0
208,2020-01-01 00:03:28,0
209,2020-01-01 00:03:29,0
210,2020-01-01 00:03:30,0
211,2020-01-01 00:03:31,0
212,2020-01-01 00:03:32,0
213,2020-01-01 00:03:33,0
214,2020-01-01 00:03:34,0
215,2020-01-01 00:03:35,0
216,2020-01-01 00:03:36,0
217,2020-01-01 00:03:37,0
218,2020-01-01 00:03:38,0
219,2020-01-01 00:03:39,0
220,2020-01-01 00:03:40,0
221,2020-01-01 00:03:41,0
222,2020-01-01 00:03:42,0
223,2020-01-01 00:03:43,0
224,2020-01-01 00:03:44,0
225,2020-01-01 00:03:45,0
226,2020-01-01 00:03:46,0
227,2020-01-01 00:03:47,0
228,2020-01-01 00:03:48,0
229,2020-01-01 00:03:49,0
230,2020-01-01 00:03:50,0
231,2020-01-01 00:03:51,0
232,2020-01-01 00:03:52,0
233,2020-01-01 00:03:53,0
234,2020-01-01 00:03:54,0
235,2020-01-01 00:03:55,0
236,2020-01-01 00:03:56,0
237,2020-01-01 00:03:57,0
238,2020-01-01 00:03:58,0
239,2020-01-01 00:03:59,0
240,2020-01-01 00:04:00,0
241,2020-01-01 00:04:01,0
242,2020-01-01 00:04:02,0
243,2020-01-01 00:04:03,0
244,2020-01-01 00:04:04,0
245,2020-01-01 00:04:05,0
246,2020-01-01 00:04:06,0
247,2020-01-01 00:04:07,0
248,2020-01-01 00:04:08,0
249,2020-01-01 00:04:09,0
250,2020-01-01 00:04:10,0
251,2020-01-01 00:04:11,0
252,2020-01-01 00:04:12,0
253,2020-01-01 00:04:13,0
254,2020-01-01 00:04:14,0
255,2020-01-01 00:04:15,0
256,2020-01-01 00:04:16,0
257,2020-01-01 00:04:17,0
258,2020-01-01 00:04:18,0
259,2020-01-01 00:04:19,0
260,2020-01-01 00:04:20,0
261,2020-01-01 00:04:21,0
262,2020-01-01 00:04:22,0
263,2020-01-01 00:04:23,0
264,2020-01-01 00:04:24,0
265,2020-01-01 00:04:25,0
