onPeakOut,facilitiesOut,maxFacilitiesOut,maxOnPeakOut,time
0,0,0,0,0002-11-30 00:00:00
0,3.80414506288164,0,0,0002-11-30 00:05:00
0,4.15525978152169,0,0,0002-11-30 00:10:00
0,5.07600204064768,0,0,0002-11-30 00:15:00
0,4.90050617150229,0,0,0002-11-30 00:20:00
0,5.03295672608852,0,0,0002-11-30 00:25:00
0,5.00482030937116,0,0,0002-11-30 00:30:00
0,5.05018771865785,0,0,0002-11-30 00:35:00
0,4.99802052355229,0,0,0002-11-30 00:40:00
0,5.1272762621118,0,0,0002-11-30 00:45:00
0,5.18156730197264,0,0,0002-11-30 00:50:00
0,5.17962339945029,0,0,0002-11-30 00:55:00
0,5.00410671818893,0,0,0002-11-30 01:00:00
0,4.94371643241259,0,0,0002-11-30 01:05:00
0,4.89490949782926,0,0,0002-11-30 01:10:00
0,4.97655606203225,0,0,0002-11-30 01:15:00
0,5.00888598535163,0,0,0002-11-30 01:20:00
0,4.9762491344763,0,0,0002-11-30 01:25:00
0,4.97570609675813,0,0,0002-11-30 01:30:00
0,5.0136116160087,0,0,0002-11-30 01:35:00
0,5.07370426281813,0,0,0002-11-30 01:40:00
0,5.04289155196257,0,0,0002-11-30 01:45:00
0,4.95130793580198,0,0,0002-11-30 01:50:00
0,4.9857990395653,0,0,0002-11-30 01:55:00
0,5.00938571437523,0,0,0002-11-30 02:00:00
0,5.07433922675752,0,0,0002-11-30 02:05:00
0,4.99708688033105,0,0,0002-11-30 02:10:00
0,4.91169913541129,0,0,0002-11-30 02:15:00
0,4.85391567848256,0,0,0002-11-30 02:20:00
0,4.94177285979865,0,0,0002-11-30 02:25:00
0,5.06099331507018,0,0,0002-11-30 02:30:00
0,5.11268424351217,0,0,0002-11-30 02:35:00
0,5.00747051959309,0,0,0002-11-30 02:40:00
0,4.80850233366741,0,0,0002-11-30 02:45:00
0,4.80043589431104,0,0,0002-11-30 02:50:00
0,4.88291533845038,0,0,0002-11-30 02:55:00
0,4.9795659118811,0,0,0002-11-30 03:00:00
0,5.04454298759289,0,0,0002-11-30 03:05:00
0,4.98083753843162,0,0,0002-11-30 03:10:00
0,5.06195837803638,0,0,0002-11-30 03:15:00
0,5.03001578097103,0,0,0002-11-30 03:20:00
0,4.97991153686245,0,0,0002-11-30 03:25:00
0,4.89864681652121,0,0,0002-11-30 03:30:00
0,4.84614172808537,0,0,0002-11-30 03:35:00
0,4.87213808659718,0,0,0002-11-30 03:40:00
0,4.95139725782317,0,0,0002-11-30 03:45:00
0,4.86101094755389,0,0,0002-11-30 03:50:00
0,4.80118450580701,0,0,0002-11-30 03:55:00
0,4.76577863026398,0,0,0002-11-30 04:00:00
0,4.87780342034221,0,0,0002-11-30 04:05:00
0,5.02396598851687,0,0,0002-11-30 04:10:00
0,5.06846880297142,0,0,0002-11-30 04:15:00
0,5.12750670098288,0,0,0002-11-30 04:20:00
0,5.06349747671053,0,0,0002-11-30 04:25:00
0,5.08729531395841,0,0,0002-11-30 04:30:00
0,38.4994009885637,0,0,0002-11-30 04:35:00
0,67.2081400640118,0,0,0002-11-30 04:40:00
0,92.0500763749855,0,0,0002-11-30 04:45:00
0,90.9681339003545,0,0,0002-11-30 04:50:00
0,90.3053535339872,0,0,0002-11-30 04:55:00
0,89.3137498579383,0,0,0002-11-30 05:00:00
0,79.1248450713335,0,0,0002-11-30 05:05:00
0,69.8818697343394,0,0,0002-11-30 05:10:00
0,57.6698323202615,0,0,0002-11-30 05:15:00
0,46.153110039237,0,0,0002-11-30 05:20:00
0,36.9470112481084,0,0,0002-11-30 05:25:00
0,33.1045611738392,0,0,0002-11-30 05:30:00
0,31.9022821327108,0,0,0002-11-30 05:35:00
0,28.8218051990926,0,0,0002-11-30 05:40:00
0,32.9389734956305,0,0,0002-11-30 05:45:00
0,39.9593834695419,0,0,0002-11-30 05:50:00
0,42.1332387939563,0,0,0002-11-30 05:55:00
0,41.3953664590331,0,0,0002-11-30 06:00:00
0,36.3677498914377,0,0,0002-11-30 06:05:00
0,35.0514308389904,0,0,0002-11-30 06:10:00
0,34.4599065905096,0,0,0002-11-30 06:15:00
0,44.0868028445053,0,0,0002-11-30 06:20:00
0,52.0207145943248,0,0,0002-11-30 06:25:00
0,59.4427281236032,0,0,0002-11-30 06:30:00
0,56.0300392438876,0,0,0002-11-30 06:35:00
0,56.2081146201727,0,0,0002-11-30 06:40:00
0,62.8552424838489,0,0,0002-11-30 06:45:00
0,77.9192167207578,0,0,0002-11-30 06:50:00
0,73.9526318138481,0,0,0002-11-30 06:55:00
0,68.6511819552312,0,0,0002-11-30 07:00:00
0,58.4155256469979,0,0,0002-11-30 07:05:00
0,58.2041856234126,0,0,0002-11-30 07:10:00
0,50.18098440523,0,0,0002-11-30 07:15:00
0,59.199013965054,0,0,0002-11-30 07:20:00
0,73.9036628648199,0,0,0002-11-30 07:25:00
0,82.5593809646219,0,0,0002-11-30 07:30:00
0,68.4336992903461,0,0,0002-11-30 07:35:00
0,60.7593115333317,0,0,0002-11-30 07:40:00
0,54.3417866486121,0,0,0002-11-30 07:45:00
0,58.1008602712082,0,0,0002-11-30 07:50:00
0,61.8151465004167,0,0,0002-11-30 07:55:00
0,81.369975751892,0,0,0002-11-30 08:00:00
0,94.4122833089622,0,0,0002-11-30 08:05:00
0,95.5695108260812,95.5695108260812,0,0002-11-30 08:10:00
0,89.2366935647466,0,0,0002-11-30 08:15:00
0,84.6433632761005,0,0,0002-11-30 08:20:00
0,85.038090993814,0,0,0002-11-30 08:25:00
0,87.9483484168225,0,0,0002-11-30 08:30:00
0,92.0758129695585,0,0,0002-11-30 08:35:00
0,95.4096886196116,0,0,0002-11-30 08:40:00
0,91.4967828340347,0,0,0002-11-30 08:45:00
0,83.1827886645206,0,0,0002-11-30 08:50:00
0,82.7600306512861,0,0,0002-11-30 08:55:00
0,76.7691834493803,0,0,0002-11-30 09:00:00
0,71.9338473906531,0,0,0002-11-30 09:05:00
0,64.5806047173193,0,0,0002-11-30 09:10:00
0,64.8642826123223,0,0,0002-11-30 09:15:00
0,66.7225623284282,0,0,0002-11-30 09:20:00
0,58.7321942714289,0,0,0002-11-30 09:25:00
0,62.0992951398703,0,0,0002-11-30 09:30:00
0,59.883558530897,0,0,0002-11-30 09:35:00
0,59.7745571945126,0,0,0002-11-30 09:40:00
0,56.3693466568356,0,0,0002-11-30 09:45:00
0,47.3309659352759,0,0,0002-11-30 09:50:00
0,46.4171731041167,0,0,0002-11-30 09:55:00
0,37.4671472555254,0,0,0002-11-30 10:00:00
0,40.8250044118038,0,0,0002-11-30 10:05:00
0,41.2019403928531,0,0,0002-11-30 10:10:00
0,39.3264346833577,0,0,0002-11-30 10:15:00
0,36.5218938177534,0,0,0002-11-30 10:20:00
0,35.8511170790023,0,0,0002-11-30 10:25:00
0,32.7411622172543,0,0,0002-11-30 10:30:00
0,28.2683108727708,0,0,0002-11-30 10:35:00
0,26.1475426058849,0,0,0002-11-30 10:40:00
0,25.3288674731513,0,0,0002-11-30 10:45:00
