onPeakOut,facilitiesOut,maxFacilitiesOut,maxOnPeakOut,time
0,0,0,0,0002-11-30 00:00:00
0,3.80414506288164,0,0,0002-11-30 00:05:00
0,4.15525978144654,0,0,0002-11-30 00:10:00
0,5.07600204057253,0,0,0002-11-30 00:15:00
0,4.90050617142714,0,0,0002-11-30 00:20:00
0,5.03295672608852,0,0,0002-11-30 00:25:00
0,5.00482030937116,0,0,0002-11-30 00:30:00
0,5.05018771865785,0,0,0002-11-30 00:35:00
0,4.99802052355229,0,0,0002-11-30 00:40:00
0,5.1272762621118,0,0,0002-11-30 00:45:00
0,5.18156730197264,0,0,0002-11-30 00:50:00
0,5.17962339945029,0,0,0002-11-30 00:55:00
0,5.00410671818893,0,0,0002-11-30 01:00:00
0,4.94371643241259,0,0,0002-11-30 01:05:00
0,4.89490949782926,0,0,0002-11-30 01:10:00
0,4.97655606203225,0,0,0002-11-30 01:15:00
0,5.00888598535163,0,0,0002-11-30 01:20:00
0,4.9762491344763,0,0,0002-11-30 01:25:00
0,4.97570609675813,0,0,0002-11-30 01:30:00
0,5.0136116160087,0,0,0002-11-30 01:35:00
0,5.07370426281813,0,0,0002-11-30 01:40:00
0,5.04289155196257,0,0,0002-11-30 01:45:00
0,4.95130793580198,0,0,0002-11-30 01:50:00
0,4.9857990395653,0,0,0002-11-30 01:55:00
0,5.00938571437523,0,0,0002-11-30 02:00:00
0,5.07433922675752,0,0,0002-11-30 02:05:00
0,4.99708688033105,0,0,0002-11-30 02:10:00
0,4.91169913541129,0,0,0002-11-30 02:15:00
0,4.85391567848256,0,0,0002-11-30 02:20:00
0,4.94177285979865,0,0,0002-11-30 02:25:00
0,5.06099331507018,0,0,0002-11-30 02:30:00
0,5.11268424351217,0,0,0002-11-30 02:35:00
0,5.00747051959309,0,0,0002-11-30 02:40:00
0,4.80850233366741,0,0,0002-11-30 02:45:00
0,4.80043589431104,0,0,0002-11-30 02:50:00
0,4.88291533845038,0,0,0002-11-30 02:55:00
0,4.9795659118811,0,0,0002-11-30 03:00:00
0,5.04454298759289,0,0,0002-11-30 03:05:00
0,4.98083753843162,0,0,0002-11-30 03:10:00
0,5.06195837803638,0,0,0002-11-30 03:15:00
0,5.03001578097103,0,0,0002-11-30 03:20:00
0,4.97991153686245,0,0,0002-11-30 03:25:00
0,4.89864681652121,0,0,0002-11-30 03:30:00
0,4.84614172808537,0,0,0002-11-30 03:35:00
0,4.87213808659718,0,0,0002-11-30 03:40:00
0,4.95139725782317,0,0,0002-11-30 03:45:00
0,4.86101094755389,0,0,0002-11-30 03:50:00
0,4.80118450580701,0,0,0002-11-30 03:55:00
0,4.76577863026398,0,0,0002-11-30 04:00:00
0,4.87780342034221,0,0,0002-11-30 04:05:00
0,5.02396598851687,0,0,0002-11-30 04:10:00
0,5.06846880297142,0,0,0002-11-30 04:15:00
0,5.12750670098288,0,0,0002-11-30 04:20:00
0,5.06349747671053,0,0,0002-11-30 04:25:00
0,5.08729531395841,0,0,0002-11-30 04:30:00
0,5.06931533057759,0,0,0002-11-30 04:35:00
0,16.1478749136207,0,0,0002-11-30 04:40:00
0,25.8153751096761,0,0,0002-11-30 04:45:00
0,33.9593982051751,0,0,0002-11-30 04:50:00
0,30.0941181092459,0,0,0002-11-30 04:55:00
0,26.346097371464,0,0,0002-11-30 05:00:00
0,24.9280843194664,0,0,0002-11-30 05:05:00
0,23.2342854588091,0,0,0002-11-30 05:10:00
0,16.976717578741,0,0,0002-11-30 05:15:00
0,10.5850547210174,0,0,0002-11-30 05:20:00
0,5.79013545517454,0,0,0002-11-30 05:25:00
0,6.28758965837626,0,0,0002-11-30 05:30:00
0,10.6626861765932,0,0,0002-11-30 05:35:00
0,12.3827008744227,0,0,0002-11-30 05:40:00
0,21.9962669041978,0,0,0002-11-30 05:45:00
0,31.9054849179061,0,0,0002-11-30 05:50:00
0,36.5657603645345,0,0,0002-11-30 05:55:00
0,36.6033933662554,0,0,0002-11-30 06:00:00
0,33.4177621294658,0,0,0002-11-30 06:05:00
0,33.686854543701,0,0,0002-11-30 06:10:00
0,34.4599065905096,0,0,0002-11-30 06:15:00
0,30.8421121624048,0,0,0002-11-30 06:20:00
0,27.3762129968577,0,0,0002-11-30 06:25:00
0,24.9863183415426,0,0,0002-11-30 06:30:00
0,26.3731325054976,0,0,0002-11-30 06:35:00
0,30.6821784343463,0,0,0002-11-30 06:40:00
0,40.8848656029912,0,0,0002-11-30 06:45:00
0,59.0091380943389,0,0,0002-11-30 06:50:00
0,62.3113935502321,0,0,0002-11-30 06:55:00
0,63.2662925712401,0,0,0002-11-30 07:00:00
0,58.4155256469979,0,0,0002-11-30 07:05:00
0,58.2041856234126,0,0,0002-11-30 07:10:00
0,50.18098440523,0,0,0002-11-30 07:15:00
0,59.199013965054,0,0,0002-11-30 07:20:00
0,73.9036628648199,0,0,0002-11-30 07:25:00
0,82.5593809646219,0,0,0002-11-30 07:30:00
0,68.4336992903461,0,0,0002-11-30 07:35:00
0,60.7593115333317,0,0,0002-11-30 07:40:00
0,54.3417866486121,0,0,0002-11-30 07:45:00
0,58.1008602712082,0,0,0002-11-30 07:50:00
0,61.8151465004167,0,0,0002-11-30 07:55:00
0,81.369975751892,0,0,0002-11-30 08:00:00
0,112.154151668123,0,0,0002-11-30 08:05:00
0,128.581946798656,0,0,0002-11-30 08:10:00
0,135.392628886724,0,0,0002-11-30 08:15:00
0,113.057430238917,0,0,0002-11-30 08:20:00
0,90.2183571950986,0,0,0002-11-30 08:25:00
0,64.6906051760068,0,0,0002-11-30 08:30:00
0,55.6539628964471,0,0,0002-11-30 08:35:00
0,55.6206199415503,0,0,0002-11-30 08:40:00
0,57.2500140483055,0,0,0002-11-30 08:45:00
0,53.7063216038589,0,0,0002-11-30 08:50:00
0,57.389400335344,0,0,0002-11-30 08:55:00
0,54.9324795695176,0,0,0002-11-30 09:00:00
0,56.0924688856961,0,0,0002-11-30 09:05:00
0,53.8994505838071,0,0,0002-11-30 09:10:00
0,60.4014122430959,0,0,0002-11-30 09:15:00
0,64.6581716915243,0,0,0002-11-30 09:20:00
0,58.7321942714289,0,0,0002-11-30 09:25:00
0,62.0992951398703,0,0,0002-11-30 09:30:00
0,59.883558530897,0,0,0002-11-30 09:35:00
0,59.7745571945126,0,0,0002-11-30 09:40:00
0,56.3693466568356,0,0,0002-11-30 09:45:00
0,47.3309659352759,0,0,0002-11-30 09:50:00
0,46.4171731041167,0,0,0002-11-30 09:55:00
0,37.4671472555254,0,0,0002-11-30 10:00:00
0,40.8250044118038,0,0,0002-11-30 10:05:00
0,41.2019403928531,0,0,0002-11-30 10:10:00
0,39.3264346833577,0,0,0002-11-30 10:15:00
0,36.5218938177534,0,0,0002-11-30 10:20:00
0,35.8511170790023,0,0,0002-11-30 10:25:00
0,32.7411622172543,0,0,0002-11-30 10:30:00
0,28.2683108727708,0,0,0002-11-30 10:35:00
0,26.1475426058849,0,0,0002-11-30 10:40:00
0,25.3288674731513,0,0,0002-11-30 10:45:00
